Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Einzelhandelsrelevante Kaufkraft;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Siedlungs- und Verkehrsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erholungsfläche;Erreichbarkeit von Mittelzentren;Erreichbarkeit von Oberzentren;Nahversorgung Supermärkte Durchschnittsdistanz;Nahversorgung Apotheken Durchschnittsdistanz;Arbeitslose
;;;2015;2015;2016;2017;2018;2019;2020;2021;2022;2016;2017;2018;2019;2020;2021;2022;2021;2021;2021;2021;2015
"14522280";"Königsfeld";"Gemeinden";"18.070,30";"5.594,45";"6,51";"6,54";"6,54";"6,58";"6,58";"6,62";"6,62";"0,18";"0,18";"0,18";"0,18";"0,18";"0,18";"0,18";"20,61";"33,56";"3.001,30";"4.040,22";"46,00"
"14522290";"Königshain-Wiederau";"Gemeinden";"19.150,08";"6.302,77";"7,35";"7,35";"7,38";"7,38";"7,35";"7,44";"7,51";"0,35";"0,35";"0,35";"0,35";"0,35";"0,35";"0,39";"14,68";"25,78";"4.735,36";"5.733,52";"77,00"
"14522300";"Kriebstein";"Gemeinden";"19.016,55";"6.012,97";"7,85";"7,92";"7,95";"8,01";"8,59";"8,56";"8,59";"0,74";"0,80";"0,77";"0,77";"1,09";"1,09";"1,06";"15,49";"34,63";"3.659,52";"4.069,50";"65,00"
"14522310";"Leisnig, Stadt";"Gemeinden";"19.515,52";"6.306,58";"9,95";"10,00";"10,08";"10,54";"11,22";"11,26";"11,27";"0,59";"0,59";"0,60";"0,60";"0,86";"0,86";"0,86";"22,09";"44,16";"1.732,66";"1.910,33";"389,00"
"14522320";"Leubsdorf";"Gemeinden";"18.102,48";"5.701,42";"8,18";"8,24";"8,30";"8,38";"8,65";"8,82";"8,88";"0,44";"0,44";"0,44";"0,44";"0,61";"0,67";"0,70";"25,36";"27,42";"3.022,42";"3.022,50";"102,00"
"14522330";"Lichtenau";"Gemeinden";"21.057,48";"6.785,11";"15,32";"15,38";"15,52";"15,54";"15,77";"15,87";"15,93";"1,91";"1,91";"1,93";"1,91";"1,99";"1,99";"1,99";"11,91";"14,38";"1.538,30";"4.248,72";"153,00"
"14522340";"Lichtenberg/Erzgeb.";"Gemeinden";"18.915,02";"5.826,66";"7,43";"7,46";"7,46";"7,58";"7,79";"7,91";"7,97";"0,57";"0,57";"0,57";"0,57";"0,63";"0,69";"0,69";"13,36";"49,68";"1.646,05";"3.567,10";"53,00"
"14522350";"Lunzenau, Stadt";"Gemeinden";"19.474,78";"6.442,44";"11,40";"11,44";"11,47";"11,97";"12,99";"13,06";"13,06";"0,81";"0,81";"0,81";"0,92";"1,31";"1,31";"1,31";"15,98";"25,04";"1.264,22";"1.439,47";"154,00"
"14522360";"Mittweida, Stadt, Hochschulstadt";"Gemeinden";"19.930,81";"6.435,78";"16,84";"16,87";"16,92";"16,92";"16,99";"17,04";"18,37";"1,79";"1,79";"1,79";"1,82";"1,82";"1,82";"2,79";"0,00";"24,55";"740,46";"936,83";"701,00"
"14522380";"Mühlau";"Gemeinden";"20.866,88";"6.331,00";"21,38";"21,38";"21,51";"22,13";"22,13";"22,25";"22,18";"0,74";"0,74";"0,74";"0,87";"0,87";"0,87";"0,87";"7,17";"16,23";"2.424,11";"2.966,81";"41,00"
"14522390";"Mulda/Sa.";"Gemeinden";"18.110,49";"5.808,76";"6,33";"6,37";"6,40";"6,44";"6,47";"6,49";"6,61";"0,44";"0,46";"0,46";"0,46";"0,46";"0,46";"0,53";"18,22";"51,39";"798,35";"2.046,24";"74,00"
"14522400";"Neuhausen/Erzgeb.";"Gemeinden";"19.256,78";"5.921,43";"6,18";"6,20";"6,24";"6,26";"6,26";"6,30";"6,30";"0,35";"0,35";"0,35";"0,35";"0,37";"0,37";"0,37";"32,45";"61,08";"951,23";"1.812,22";"62,00"
"14522420";"Niederwiesa";"Gemeinden";"22.420,24";"6.408,37";"19,77";"20,44";"21,54";"21,60";"22,64";"22,70";"22,82";"2,44";"2,56";"3,05";"3,05";"3,90";"3,90";"3,90";"10,49";"10,49";"1.324,76";"1.283,80";"100,00"
"14522430";"Oberschöna";"Gemeinden";"19.570,31";"6.106,35";"7,86";"7,88";"7,90";"7,99";"8,10";"8,15";"8,17";"0,20";"0,20";"0,20";"0,25";"0,29";"0,29";"0,32";"7,76";"30,63";"5.223,22";"4.687,66";"88,00"
"14522440";"Oederan, Stadt";"Gemeinden";"19.321,60";"6.288,05";"9,66";"9,70";"9,72";"9,83";"9,88";"9,92";"9,98";"1,31";"1,31";"1,31";"1,33";"1,34";"1,33";"1,36";"14,91";"23,49";"1.755,31";"1.876,47";"261,00"
"14522450";"Ostrau";"Gemeinden";"18.156,62";"6.047,20";"8,50";"8,52";"8,56";"9,49";"9,49";"9,53";"9,54";"0,40";"0,40";"0,40";"0,49";"0,49";"0,49";"0,49";"13,31";"42,44";"2.257,90";"2.458,84";"175,00"
"14522460";"Penig, Stadt";"Gemeinden";"20.659,67";"6.517,80";"13,38";"13,41";"13,49";"14,00";"14,03";"13,97";"13,97";"0,93";"0,93";"0,96";"1,25";"1,22";"1,23";"1,23";"11,65";"20,71";"1.382,53";"1.650,30";"310,00"
"14522470";"Rechenberg-Bienenmühle";"Gemeinden";"18.054,03";"5.773,07";"7,08";"7,10";"7,10";"7,14";"7,14";"7,16";"7,18";"0,42";"0,42";"0,44";"0,46";"0,49";"0,49";"0,51";"25,67";"50,36";"1.603,27";"2.488,47";"54,00"
"14522480";"Reinsberg";"Gemeinden";"18.216,71";"5.564,02";"6,94";"6,98";"7,02";"7,20";"7,28";"7,30";"7,34";"0,38";"0,38";"0,38";"0,44";"0,44";"0,44";"0,44";"17,81";"32,22";"2.343,72";"5.550,08";"95,00"
"14522490";"Rochlitz, Stadt";"Gemeinden";"20.981,14";"6.806,02";"14,65";"14,86";"14,86";"15,03";"15,07";"15,15";"15,36";"1,18";"1,43";"1,47";"1,52";"1,52";"1,52";"1,68";"20,41";"32,83";"648,78";"877,47";"282,00"
"14522500";"Rossau";"Gemeinden";"19.715,82";"6.037,99";"8,34";"8,42";"8,42";"8,43";"8,57";"8,73";"8,77";"0,60";"0,60";"0,60";"0,60";"0,60";"0,62";"0,62";"12,52";"24,42";"2.855,18";"4.108,96";"104,00"
"14522510";"Roßwein, Stadt";"Gemeinden";"18.311,05";"6.175,25";"12,86";"12,88";"12,90";"12,93";"12,95";"12,97";"12,97";"0,59";"0,59";"0,59";"0,59";"0,61";"0,61";"0,61";"12,78";"37,13";"1.322,72";"1.562,52";"356,00"
"14522520";"Sayda, Stadt";"Gemeinden";"17.667,96";"5.146,53";"5,67";"5,67";"5,75";"5,89";"5,92";"5,92";"5,95";"0,23";"0,23";"0,25";"0,25";"0,25";"0,25";"0,28";"30,53";"54,96";"839,79";"1.178,20";"46,00"
"14522530";"Seelitz";"Gemeinden";"18.618,42";"5.904,49";"7,17";"7,21";"7,24";"7,24";"7,24";"7,27";"7,27";"0,26";"0,26";"0,26";"0,26";"0,26";"0,26";"0,29";"19,28";"31,07";"2.979,94";"3.515,95";"50,00"
"14522540";"Striegistal";"Gemeinden";"17.927,29";"5.621,82";"7,83";"7,89";"7,92";"8,00";"8,11";"8,36";"8,42";"0,38";"0,38";"0,38";"0,38";"0,38";"0,53";"0,53";"18,19";"28,15";"3.700,98";"4.198,76";"174,00"
"14522550";"Taura";"Gemeinden";"20.639,34";"6.023,19";"15,12";"15,21";"15,21";"15,21";"16,29";"16,38";"16,47";"0,72";"0,72";"0,72";"0,72";"1,35";"1,35";"1,35";"12,37";"18,18";"1.444,43";"1.669,13";"90,00"
"14522570";"Waldheim, Stadt";"Gemeinden";"18.759,13";"6.147,31";"12,04";"12,20";"12,25";"12,28";"12,30";"12,42";"12,44";"0,70";"0,74";"0,74";"0,74";"0,77";"0,77";"0,77";"13,44";"36,43";"821,83";"1.115,25";"466,00"
"14522580";"Wechselburg";"Gemeinden";"18.816,88";"5.936,18";"8,53";"8,53";"8,54";"8,58";"8,58";"8,77";"8,81";"0,82";"0,82";"0,82";"0,82";"0,82";"0,82";"0,82";"20,63";"29,69";"1.758,70";"5.094,54";"43,00"
"14522590";"Weißenborn/Erzgeb.";"Gemeinden";"20.352,40";"6.108,70";"9,26";"9,39";"9,44";"9,48";"9,57";"9,61";"9,84";"0,53";"0,58";"0,58";"0,58";"0,58";"0,62";"0,75";"9,01";"45,33";"638,80";"4.214,88";"68,00"
"14522600";"Zettlitz";"Gemeinden";"18.641,66";"5.997,95";"6,25";"6,31";"6,31";"6,31";"6,44";"6,44";"6,44";"0,32";"0,32";"0,32";"0,32";"0,32";"0,26";"0,26";"20,09";"36,90";"1.430,95";"3.648,48";"28,00"
"14522620";"Zschaitz-Ottewig";"Gemeinden";"17.880,84";"6.049,25";"7,17";"7,17";"7,17";"7,17";"8,21";"8,21";"8,27";"0,22";"0,22";"0,22";"0,22";"0,22";"0,22";"0,22";"8,31";"40,27";"4.151,02";"3.872,64";"39,00"
"14523010";"Adorf/Vogtl., Stadt";"Gemeinden";"19.698,52";"6.391,11";"10,27";"10,32";"10,34";"10,31";"10,36";"10,36";"10,38";"0,65";"0,65";"0,65";"0,65";"0,65";"0,65";"0,63";"13,21";"25,00";"850,28";"1.182,39";"128,00"
"14523020";"Auerbach/Vogtl., Stadt";"Gemeinden";"20.145,17";"5.935,92";"17,33";"17,49";"17,60";"17,65";"17,72";"17,74";"17,78";"1,78";"1,78";"1,80";"1,80";"1,80";"1,80";"1,80";"0,00";"26,88";"871,38";"1.234,39";"700,00"
"14523030";"Bad Brambach";"Gemeinden";"19.616,64";"6.379,86";"7,99";"7,99";"8,01";"8,01";"8,01";"8,06";"8,06";"0,73";"0,73";"0,73";"0,73";"0,73";"0,75";"0,75";"27,43";"27,43";"1.771,54";"8.749,70";"41,00"
"14523040";"Bad Elster, Stadt";"Gemeinden";"21.888,54";"6.168,82";"14,06";"14,06";"14,11";"14,16";"14,16";"14,16";"14,37";"2,33";"2,33";"2,33";"2,33";"2,33";"2,33";"2,33";"18,67";"20,31";"1.300,26";"1.322,18";"94,00"
"14523050";"Bergen";"Gemeinden";"20.749,05";"5.978,67";"8,87";"8,75";"8,75";"8,87";"8,87";"8,87";"8,87";"0,60";"0,60";"0,60";"0,60";"0,60";"0,60";"0,60";"8,32";"15,18";"912,29";"6.661,72";"25,00"
"14523060";"Bösenbrunn";"Gemeinden";"17.111,96";"5.340,29";"5,44";"5,44";"5,44";"5,44";"5,47";"5,47";"5,47";"0,20";"0,20";"0,20";"0,20";"0,20";"0,20";"0,20";"8,32";"16,37";"4.525,78";"5.861,70";"25,00"
"14523080";"Eichigt";"Gemeinden";"18.705,97";"5.832,49";"5,81";"5,87";"5,87";"5,90";"5,90";"5,90";"5,93";"0,18";"0,18";"0,18";"0,18";"0,18";"0,18";"0,18";"11,02";"21,32";"4.957,41";"6.487,56";"27,00"
"14523090";"Ellefeld";"Gemeinden";"18.071,27";"5.417,12";"31,87";"31,87";"32,09";"32,09";"32,31";"32,31";"32,31";"2,20";"2,20";"2,20";"2,20";"2,20";"2,20";"2,20";"0,00";"25,78";"727,77";"546,15";"59,00"
"14523100";"Elsterberg, Stadt";"Gemeinden";"18.820,43";"6.271,45";"10,48";"10,48";"10,48";"10,48";"10,52";"10,56";"10,68";"0,60";"0,64";"0,64";"0,64";"0,64";"0,64";"0,64";"7,82";"17,57";"886,74";"966,71";"163,00"
"14523120";"Falkenstein/Vogtl., Stadt";"Gemeinden";"19.539,49";"6.333,65";"15,04";"15,10";"15,13";"15,13";"15,13";"15,20";"15,23";"1,22";"1,22";"1,22";"1,22";"1,22";"1,22";"1,22";"0,00";"23,50";"689,76";"1.239,69";"284,00"
"14523130";"Grünbach";"Gemeinden";"19.409,96";"5.450,53";"6,75";"6,79";"6,83";"6,83";"6,90";"6,90";"6,90";"0,33";"0,33";"0,33";"0,33";"0,33";"0,33";"0,33";"3,88";"23,80";"2.935,64";"3.082,98";"25,00"
"14523150";"Heinsdorfergrund";"Gemeinden";"18.925,43";"5.663,67";"12,67";"12,67";"12,81";"12,85";"12,95";"12,99";"13,08";"0,64";"0,64";"0,64";"0,64";"0,64";"0,64";"0,64";"10,45";"16,56";"2.248,70";"4.469,81";"36,00"
"14523160";"Klingenthal, Stadt";"Gemeinden";"20.041,90";"5.927,79";"10,88";"10,88";"10,90";"10,90";"10,94";"10,94";"10,94";"0,69";"0,69";"0,69";"0,69";"0,71";"0,71";"0,71";"21,12";"38,98";"1.472,08";"1.767,59";"248,00"
"14523170";"Lengenfeld, Stadt";"Gemeinden";"19.526,34";"5.827,48";"13,79";"13,81";"13,81";"13,84";"13,90";"13,98";"14,01";"1,13";"1,15";"1,15";"1,15";"1,15";"1,15";"1,15";"5,15";"21,74";"1.645,72";"1.739,37";"212,00"
"14523190";"Limbach";"Gemeinden";"20.131,57";"5.607,46";"9,99";"10,06";"10,13";"10,20";"10,20";"10,27";"10,34";"0,70";"0,77";"0,77";"0,77";"0,77";"0,77";"0,77";"9,46";"19,13";"1.115,44";"3.378,65";"24,00"
"14523200";"Markneukirchen, Stadt";"Gemeinden";"19.638,63";"5.774,52";"7,57";"7,59";"7,60";"7,63";"7,65";"7,66";"7,66";"0,51";"0,52";"0,52";"0,52";"0,52";"0,54";"0,54";"19,85";"30,78";"1.400,90";"1.615,10";"218,00"
"14523230";"Mühlental";"Gemeinden";"17.069,19";"4.997,39";"4,59";"4,59";"4,59";"4,62";"4,62";"4,62";"4,62";"0,10";"0,10";"0,10";"0,10";"0,10";"0,10";"0,10";"11,16";"22,96";"4.896,20";"5.256,85";"28,00"
"14523245";"Muldenhammer";"Gemeinden";"19.106,16";"5.850,59";"6,53";"6,53";"6,54";"6,54";"6,56";"6,56";"6,58";"0,27";"0,27";"0,27";"0,27";"0,27";"0,27";"0,27";"8,28";"31,41";"2.373,92";"2.491,11";"79,00"
"14523260";"Netzschkau, Stadt";"Gemeinden";"20.274,31";"5.879,17";"18,07";"18,15";"18,23";"18,23";"18,31";"18,31";"18,39";"1,04";"1,04";"1,04";"1,04";"1,04";"1,04";"0,96";"5,73";"21,86";"619,92";"803,67";"117,00"
"14523270";"Neuensalz";"Gemeinden";"18.964,20";"5.478,05";"10,30";"10,33";"10,33";"10,36";"10,36";"10,39";"10,39";"0,93";"0,93";"0,93";"0,93";"0,93";"0,93";"0,93";"10,34";"10,43";"3.751,14";"4.944,28";"43,00"
"14523280";"Neumark";"Gemeinden";"20.107,32";"5.575,56";"16,58";"16,64";"16,70";"16,70";"16,75";"16,75";"16,75";"1,50";"1,50";"1,50";"1,50";"1,56";"1,56";"1,56";"7,66";"14,65";"1.291,29";"4.476,25";"63,00"
"14523290";"Neustadt/Vogtl.";"Gemeinden";"16.399,46";"5.352,58";"8,45";"8,53";"8,53";"8,53";"8,60";"8,68";"8,68";"0,15";"0,15";"0,15";"0,15";"0,15";"0,15";"0,15";"3,80";"21,05";"2.720,69";"3.082,90";"22,00"
"14523300";"Oelsnitz/Vogtl., Stadt";"Gemeinden";"19.581,44";"5.864,68";"15,84";"15,87";"15,89";"15,92";"15,97";"15,97";"15,99";"1,25";"1,25";"1,27";"1,27";"1,27";"1,27";"1,27";"0,00";"12,01";"701,48";"1.057,54";"424,00"
"14523310";"Pausa-Mühltroff, Stadt";"Gemeinden";"18.927,12";"6.034,05";"7,22";"7,25";"7,25";"7,27";"7,28";"7,30";"7,30";"0,34";"0,34";"0,34";"0,34";"0,34";"0,34";"0,34";"9,84";"18,80";"928,77";"2.818,64";"158,00"
"14523320";"Plauen, Stadt";"Gemeinden";"20.229,15";"6.342,51";"26,69";"26,73";"26,78";"26,80";"26,84";"26,87";"26,91";"3,84";"3,84";"3,85";"3,85";"3,85";"3,85";"3,85";"0,00";"0,00";"640,23";"771,99";"3.362,00"
"14523330";"Pöhl";"Gemeinden";"20.160,58";"5.909,08";"9,88";"9,88";"9,91";"9,93";"9,93";"9,93";"9,93";"1,47";"1,50";"1,50";"1,50";"1,50";"1,47";"1,47";"13,71";"18,05";"1.542,31";"1.949,73";"68,00"
"14523340";"Reichenbach im Vogtland, Stadt";"Gemeinden";"19.297,86";"6.164,37";"27,68";"27,74";"27,79";"27,82";"27,88";"27,91";"27,94";"2,52";"2,52";"2,52";"2,52";"2,52";"2,52";"2,52";"0,00";"21,36";"565,35";"677,80";"988,00"
"14523360";"Rodewisch, Stadt";"Gemeinden";"19.875,36";"6.233,32";"17,67";"17,71";"18,01";"18,01";"18,04";"18,04";"18,12";"1,00";"1,04";"1,04";"1,04";"1,04";"1,04";"1,04";"0,00";"25,67";"839,77";"1.079,62";"190,00"
"14523365";"Rosenbach/Vogtl.";"Gemeinden";"19.339,62";"5.751,93";"6,77";"6,79";"6,80";"6,80";"6,85";"6,85";"6,86";"0,43";"0,43";"0,43";"0,43";"0,43";"0,43";"0,43";"12,29";"12,29";"4.169,85";"5.693,23";"105,00"
"14523370";"Schöneck/Vogtl., Stadt";"Gemeinden";"19.256,35";"6.160,18";"6,54";"6,56";"6,58";"6,61";"6,63";"6,63";"6,65";"0,60";"0,60";"0,60";"0,60";"0,62";"0,62";"0,62";"11,84";"26,46";"1.311,75";"1.321,94";"73,00"
"14523380";"Steinberg";"Gemeinden";"19.966,50";"5.832,27";"10,31";"10,36";"10,36";"10,36";"10,41";"10,46";"10,51";"0,49";"0,49";"0,49";"0,49";"0,49";"0,49";"0,49";"7,36";"32,29";"1.577,35";"3.712,62";"62,00"
"14523410";"Theuma";"Gemeinden";"20.096,26";"5.622,88";"8,15";"8,15";"8,15";"8,15";"8,15";"8,25";"8,35";"0,50";"0,50";"0,50";"0,50";"0,50";"0,60";"0,60";"9,95";"11,31";"468,44";"4.738,32";"20,00"
"14523420";"Tirpersdorf";"Gemeinden";"20.485,94";"5.608,51";"8,69";"8,74";"8,75";"8,79";"8,79";"8,79";"8,79";"0,31";"0,31";"0,31";"0,31";"0,31";"0,31";"0,31";"8,36";"14,51";"4.154,83";"6.107,58";"19,00"
"14523430";"Treuen, Stadt";"Gemeinden";"20.000,07";"5.877,56";"14,31";"14,33";"14,36";"14,38";"14,40";"14,56";"14,63";"0,41";"0,41";"0,41";"0,41";"0,41";"0,41";"0,41";"8,89";"18,07";"1.185,35";"1.255,21";"204,00"
"14523440";"Triebel/Vogtl.";"Gemeinden";"17.952,38";"5.608,63";"4,60";"4,60";"4,60";"4,62";"4,62";"4,62";"4,90";"0,30";"0,30";"0,30";"0,30";"0,30";"0,30";"0,32";"9,01";"19,31";"3.625,99";"6.344,77";"29,00"
"14523450";"Weischlitz";"Gemeinden";"19.459,88";"5.705,16";"7,82";"7,36";"7,37";"7,37";"7,39";"7,41";"7,40";"0,24";"0,21";"0,21";"0,21";"0,21";"0,21";"0,21";"6,53";"6,53";"3.384,13";"4.621,78";"136,00"
"14523460";"Werda";"Gemeinden";"19.667,41";"5.655,14";"8,55";"8,55";"8,54";"8,61";"8,61";"8,61";"8,68";"0,59";"0,59";"0,59";"0,59";"0,59";"0,59";"0,59";"8,63";"17,98";"4.504,56";"5.912,71";"23,00"
"14524010";"Bernsdorf";"Gemeinden";"24.585,18";"7.601,44";"11,61";"11,61";"11,67";"11,67";"11,74";"11,74";"11,74";"0,54";"0,61";"0,61";"0,61";"0,61";"0,61";"0,61";"3,63";"17,46";"1.820,69";"1.963,87";"44,00"
"14524020";"Callenberg";"Gemeinden";"19.384,68";"6.093,15";"11,87";"12,67";"12,69";"12,72";"12,74";"12,79";"12,82";"1,38";"1,51";"1,51";"1,51";"1,51";"1,51";"1,51";"9,83";"20,49";"2.556,49";"4.411,62";"141,00"
"14524030";"Crimmitschau, Stadt";"Gemeinden";"18.812,97";"6.168,22";"15,91";"16,06";"16,30";"16,34";"16,55";"16,96";"17,48";"1,70";"1,72";"1,73";"1,73";"1,75";"1,85";"1,98";"0,00";"21,10";"953,11";"1.383,21";"911,00"
"14524040";"Crinitzberg";"Gemeinden";"19.262,16";"5.853,21";"7,12";"7,23";"7,39";"7,39";"7,87";"7,87";"8,08";"0,43";"0,43";"0,43";"0,43";"0,48";"0,48";"0,48";"9,27";"26,59";"3.866,07";"2.024,39";"45,00"
"14524050";"Dennheritz";"Gemeinden";"20.911,12";"5.846,91";"12,87";"12,87";"12,87";"12,95";"13,55";"14,58";"14,58";"0,60";"0,60";"0,60";"0,60";"0,82";"0,82";"0,82";"7,59";"13,61";"2.185,76";"2.874,65";"26,00"
"14524060";"Fraureuth";"Gemeinden";"19.880,74";"5.981,56";"13,94";"14,65";"14,69";"14,73";"15,84";"15,88";"15,88";"0,97";"1,33";"1,28";"1,33";"1,28";"1,19";"1,19";"10,01";"18,87";"1.555,35";"1.783,09";"155,00"
"14524070";"Gersdorf";"Gemeinden";"20.320,80";"6.162,81";"21,96";"21,96";"21,98";"21,98";"21,98";"22,08";"22,29";"1,55";"1,55";"1,55";"1,55";"1,44";"1,44";"1,55";"7,15";"23,35";"585,84";"847,72";"124,00"
"14524080";"Glauchau, Stadt";"Gemeinden";"19.372,49";"6.064,75";"24,78";"24,95";"24,97";"25,01";"25,07";"25,15";"25,59";"1,78";"1,78";"1,80";"1,80";"1,82";"1,82";"1,86";"0,00";"16,70";"809,72";"1.053,12";"972,00"
"14524090";"Hartenstein, Stadt";"Gemeinden";"20.327,19";"5.611,33";"10,60";"10,60";"10,68";"10,79";"10,87";"12,10";"12,10";"0,65";"0,65";"0,68";"0,68";"0,65";"0,82";"0,82";"9,81";"20,14";"1.151,56";"1.252,65";"115,00"
"14524100";"Hartmannsdorf b. Kirchberg";"Gemeinden";"18.080,21";"5.404,19";"5,59";"5,59";"5,78";"5,78";"5,78";"5,85";"5,85";"0,26";"0,26";"0,26";"0,26";"0,26";"0,26";"0,26";"9,16";"22,76";"4.090,51";"3.013,46";"24,00"
"14524110";"Hirschfeld";"Gemeinden";"20.014,62";"6.409,22";"11,54";"11,54";"11,54";"11,59";"11,59";"11,33";"11,33";"0,90";"0,90";"0,90";"0,90";"0,90";"0,90";"0,90";"13,48";"17,00";"3.471,03";"4.040,82";"17,00"
"14524120";"Hohenstein-Ernstthal, Stadt";"Gemeinden";"20.485,42";"5.961,50";"32,72";"32,83";"33,15";"33,15";"33,21";"33,32";"33,42";"4,95";"4,95";"5,01";"5,01";"5,01";"5,01";"5,01";"0,00";"21,78";"559,19";"742,28";"629,00"
"14524130";"Kirchberg, Stadt";"Gemeinden";"19.917,60";"6.058,39";"9,98";"10,08";"10,31";"10,54";"10,95";"11,40";"11,68";"0,73";"0,76";"0,76";"0,78";"0,81";"0,88";"0,94";"10,18";"18,04";"1.096,81";"1.280,24";"238,00"
"14524140";"Langenbernsdorf";"Gemeinden";"19.151,28";"5.903,45";"8,61";"8,66";"8,72";"8,72";"8,77";"8,83";"9,02";"0,60";"0,60";"0,60";"0,60";"0,60";"0,60";"0,60";"5,00";"19,71";"2.244,74";"5.925,25";"71,00"
"14524150";"Langenweißbach";"Gemeinden";"18.505,52";"5.527,51";"9,50";"9,50";"9,55";"9,59";"9,59";"9,64";"9,95";"0,49";"0,49";"0,49";"0,49";"0,49";"0,49";"0,53";"7,76";"22,48";"1.915,18";"3.579,97";"56,00"
"14524160";"Lichtenstein/Sa., Stadt";"Gemeinden";"20.017,61";"5.923,79";"23,79";"23,92";"23,98";"24,18";"24,18";"24,31";"25,02";"2,59";"2,59";"2,59";"2,65";"2,65";"2,65";"3,10";"0,00";"15,11";"568,65";"935,30";"394,00"
"14524170";"Lichtentanne";"Gemeinden";"22.150,06";"6.263,67";"14,42";"14,46";"14,49";"14,57";"14,64";"14,75";"14,97";"0,77";"0,77";"0,77";"0,77";"0,77";"0,77";"0,77";"7,66";"7,66";"1.913,54";"2.216,34";"116,00"
"14524180";"Limbach-Oberfrohna, Stadt";"Gemeinden";"20.726,17";"6.168,72";"20,41";"21,05";"22,01";"22,68";"22,84";"22,94";"23,42";"1,31";"1,37";"1,67";"1,71";"1,73";"1,71";"1,85";"0,00";"16,19";"963,38";"1.139,34";"921,00"
"14524190";"Meerane, Stadt";"Gemeinden";"19.816,61";"6.034,29";"32,56";"33,17";"34,53";"34,73";"35,13";"35,39";"36,19";"5,20";"5,25";"5,25";"5,30";"5,30";"5,30";"5,75";"9,58";"18,89";"508,98";"578,42";"680,00"
"14524200";"Mülsen";"Gemeinden";"21.030,29";"6.067,81";"10,72";"10,76";"10,80";"10,85";"11,63";"11,65";"12,17";"0,58";"0,58";"0,56";"0,58";"0,70";"0,70";"0,80";"5,28";"9,83";"1.395,05";"1.746,49";"292,00"
"14524210";"Neukirchen/Pleiße";"Gemeinden";"19.274,93";"5.908,90";"15,45";"15,45";"15,45";"15,45";"15,93";"15,93";"15,99";"0,89";"0,89";"0,89";"0,89";"0,95";"0,95";"0,95";"6,89";"18,78";"1.047,69";"2.627,43";"121,00"
"14524220";"Niederfrohna";"Gemeinden";"20.491,62";"5.937,72";"13,55";"13,55";"13,65";"14,24";"14,34";"14,34";"15,50";"0,49";"0,49";"0,49";"0,49";"0,49";"0,49";"0,79";"7,22";"19,47";"1.661,06";"2.486,88";"43,00"
"14524230";"Oberlungwitz, Stadt";"Gemeinden";"20.382,34";"6.342,27";"21,46";"22,28";"22,34";"22,41";"22,48";"22,62";"22,68";"1,91";"3,47";"3,47";"3,47";"3,47";"3,54";"3,54";"0,00";"21,96";"879,99";"875,61";"177,00"
"14524240";"Oberwiera";"Gemeinden";"20.026,58";"5.606,57";"7,19";"7,18";"7,18";"7,25";"7,25";"8,44";"8,72";"0,49";"0,49";"0,49";"0,49";"0,49";"0,49";"0,49";"11,46";"26,01";"3.775,11";"4.107,20";"25,00"
"14524250";"Reinsdorf";"Gemeinden";"21.165,87";"6.208,95";"18,82";"18,87";"18,92";"19,34";"19,67";"19,72";"19,91";"1,27";"1,27";"1,32";"1,32";"1,32";"1,32";"1,32";"6,64";"6,64";"787,53";"1.339,64";"161,00"
"14524260";"Remse";"Gemeinden";"19.278,42";"5.718,59";"11,90";"11,97";"11,97";"11,97";"11,97";"12,37";"12,64";"0,27";"0,27";"0,27";"0,27";"0,27";"0,27";"0,27";"5,82";"20,37";"2.366,77";"2.341,01";"45,00"
"14524270";"Schönberg";"Gemeinden";"18.995,33";"5.417,89";"5,83";"5,83";"6,22";"6,22";"6,48";"6,48";"6,48";"0,13";"0,13";"0,13";"0,13";"0,13";"0,13";"0,13";"8,93";"25,22";"3.649,51";"3.743,94";"24,00"
"14524280";"St. Egidien";"Gemeinden";"19.717,85";"6.150,83";"17,54";"17,59";"17,59";"17,64";"17,69";"17,69";"17,73";"0,80";"0,85";"0,85";"0,85";"0,85";"0,89";"0,85";"4,26";"16,39";"1.175,50";"2.410,10";"79,00"
"14524290";"Waldenburg, Stadt";"Gemeinden";"19.867,01";"6.096,19";"11,13";"11,17";"11,21";"11,25";"11,29";"11,53";"11,73";"0,96";"0,96";"0,96";"0,96";"0,96";"0,96";"1,00";"12,72";"27,03";"884,72";"975,65";"115,00"
"14524300";"Werdau, Stadt";"Gemeinden";"19.357,30";"6.187,97";"16,35";"16,41";"16,58";"16,64";"16,72";"17,72";"17,80";"1,80";"1,80";"1,78";"1,77";"1,78";"2,12";"2,12";"0,00";"14,71";"817,09";"1.175,41";"1.010,00"
"14524310";"Wildenfels, Stadt";"Gemeinden";"21.166,92";"6.374,05";"13,44";"13,48";"13,48";"13,53";"15,71";"15,76";"15,81";"0,92";"0,92";"0,92";"0,92";"1,35";"1,35";"1,35";"12,10";"14,62";"1.724,35";"1.687,83";"108,00"
